# 주식(StockPage): STOCK_LIST_400 중 region US|JP, JP ETF 유니버스 티커 제외, retired 제외 — StockPage.jsx 와 동일
# 표시명은 DB 프로필 우선; 여기 display_hint 는 리스트·폴백 기준
# symbol	display_hint	region	index_tag	sector(list 원본)

## JP
NTRS	NTRS	US	SP500	未分類
NUE	NUE	US	SP500	未分類
NVDA	NVIDIA	US	SP500	未分類
NVR	NVR	US	SP500	未分類
NWS	NWS	US	SP500	未分類
NWSA	NWSA	US	SP500	未分類
NXPI	NXPI	US	SP500	未分類
O	O	US	SP500	未分類
ODFL	ODFL	US	SP500	未分類
OKE	OKE	US	SP500	未分類
OKTA	OKTA	US	SP500	未分類
OMC	OMC	US	SP500	未分類
ON	ON	US	SP500	未分類
ORCL	Oracle	US	SP500	未分類
ORLY	ORLY	US	SP500	未分類
OTIS	OTIS	US	SP500	未分類
OXY	OXY	US	SP500	未分類
PANW	Palo Alto Networks	US	SP500	未分類
PAYC	PAYC	US	SP500	未分類
PAYX	PAYX	US	SP500	未分類
PCAR	PCAR	US	SP500	未分類
PCG	PCG	US	SP500	未分類
PDD	PDD	US	SP500	未分類
PEG	PEG	US	SP500	未分類
PEP	PepsiCo	US	SP500	未分類
PFE	Pfizer	US	SP500	未分類
PFG	PFG	US	SP500	未分類
PG	PG	US	SP500	未分類
PGR	PGR	US	SP500	未分類
PH	PH	US	SP500	未分類
PHM	PHM	US	SP500	未分類
PKG	PKG	US	SP500	未分類
PLD	Prologis	US	SP500	未分類
PM	Philip Morris	US	SP500	未分類
PNC	PNC	US	SP500	未分類
PNR	PNR	US	SP500	未分類
PNW	PNW	US	SP500	未分類
PODD	PODD	US	SP500	未分類
POOL	POOL	US	SP500	未分類
PPG	PPG	US	SP500	未分類
PPL	PPL	US	SP500	未分類
PRU	PRU	US	SP500	未分類
PSA	PSA	US	SP500	未分類
PSX	PSX	US	SP500	未分類
PTC	PTC	US	SP500	未分類
PWR	PWR	US	SP500	未分類
PYPL	PYPL	US	SP500	未分類
QCOM	Qualcomm	US	SP500	未分類
QRVO	QRVO	US	SP500	未分類
RCL	RCL	US	SP500	未分類
REG	REG	US	SP500	未分類
REGN	Regeneron	US	SP500	未分類
RF	RF	US	SP500	未分類
RJF	RJF	US	SP500	未分類
RL	RL	US	SP500	未分類
RMD	RMD	US	SP500	未分類
ROK	ROK	US	SP500	未分類
ROL	ROL	US	SP500	未分類
ROP	ROP	US	SP500	未分類
ROST	ROST	US	SP500	未分類
RSG	RSG	US	SP500	未分類
RTX	RTX	US	SP500	未分類
RVTY	RVTY	US	SP500	未分類
SBAC	SBAC	US	SP500	未分類
SBUX	SBUX	US	SP500	未分類
SCHW	SCHW	US	SP500	未分類
SHW	SHW	US	SP500	未分類
SIRI	SIRI	US	SP500	未分類
SJM	SJM	US	SP500	未分類
SLB	Schlumberger	US	SP500	未分類
SMCI	SMCI	US	SP500	未分類
SNA	SNA	US	SP500	未分類
SNPS	Synopsys	US	SP500	未分類
SO	Southern Company	US	SP500	未分類
SOLV	SOLV	US	SP500	未分類
SPG	SPG	US	SP500	未分類
SPGI	S&P Global	US	SP500	未分類
SRE	SRE	US	SP500	未分類
STE	STE	US	SP500	未分類
STLD	STLD	US	SP500	未分類
STT	STT	US	SP500	未分類
STX	STX	US	SP500	未分類
STZ	STZ	US	SP500	未分類
SW	SW	US	SP500	未分類
SWK	SWK	US	SP500	未分類
SWKS	SWKS	US	SP500	未分類
SYF	SYF	US	SP500	未分類
